,신문사url,기사타이틀,기사url,요약기사
34,http://news1.kr/,[뉴스1 PICK] 64년 만의 10월 한파 '잃어버린 가을',https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=421&aid=0005661831,"주말인 17일 전국 대부분 지역에 한파경보와 한파주의보가 발표된 가운데 아침기온이 큰 폭으로 떨어졌다. 기상청은 대부분 지역의 아침 기온이 5도 이하로 떨어지고 중부 내륙과 전북 동부, 일부 경상 내륙..."
35,http://www.kmib.co.kr/,[뉴스룸에서] 미리 보는 ‘위드 코로나’,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=110&oid=005&aid=0001477598,이곳저곳 할 것 없이 묘하게 들썩거린다. ‘다음 달부터 위드 코로나’라는 선언의 효과다. 다만 들썩거림 속에 제각기 기대와 불안을 담은 질문이 담겨 있다. 드디어 아이들이 매일 등교하게 되는 거냐는 학부모들의...
36,http://www.ytn.co.kr/,[자막뉴스] 유명 기업 제휴 '부업' 주 2천 수입이라더니...,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=052&aid=0001653598,"유튜브에 올라온 한 광고 영상입니다. 명품 시계와 고가의 자동차를 자랑하는 한 남성. '코인 파생상품 거래소'에 가입한 뒤 자신이 개발한 '자동 거래'를 신청만 하면, 가만히 앉아서 수천만 원을 벌 수 있다고..."
37,http://www.ytn.co.kr/,[자막뉴스] 편의점에서 산 치즈케이크 한 입 먹자마자...어떻게 이런 일이,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=052&aid=0001653583,"지난달 22일, 천안에 사는 A 씨는 편의점에서 냉동 치즈케이크를 구매했습니다. 3일 뒤인 25일 새벽, 치즈케이크를 꺼내 한 입 먹자마자 이상한 맛을 느꼈습니다. 당황한 A 씨는 치즈케이크를 유심히 살펴보고 깜짝..."
38,http://ch1.tbroad.com/,[Btv 부산뉴스]팬더믹 속 BIFF 성공적 마무리,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=106&oid=076&aid=0003790632,"영화와 산업을 함께 아우르며 아시아를 대표하는 부산국제영화제, 내년에는 한 단계 더 성장한 모습으로 찾아올 것을 기약했습니다. B tv 뉴스 김윤정입니다. 영상 취재 박선녕"
39,http://sports.chosun.com/,"[카드뉴스] 지난주 핫이슈, 커플 유튜브 혼자 운영한 이세영",https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=100&oid=006&aid=0000110110,안녕하세요. 매주 월요일 한 주 전에 온라인에서 큰 화제가 되었던 기사들을 정리해 알려주는 '지난주 핫이슈'입니다. 지난주에는 개그우먼 이세영이 커플 유튜브 채널을 당분간 혼자 운영한다고 밝혔다는 기사가 가장...
40,http://www.mediatoday.co.kr/,방송사 뉴스엔 없는 방송작가 위임계약서·연계편성,,지상파3사와 종합편성채널4사 등 주요 방송사의 지난 1일부터 15일까지 메인 뉴스 보도 내용을 살펴본 결과... MBC '뉴스투데이'에서 10년 넘게 일한 방송작가가 일방적으로 계약해지 통보 받은 문제에 대해...
41,http://www.dt.co.kr/,[뉴스분석] 전세대출을 어찌하오리까 `딜레마`에 빠진 금융당국,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=029&aid=0002701268,"전세대출 DSR대상 가능성 무게 결국 청년·서민만 대출한도 줄어 예외두면 대출 폭증사태 못막아 실수요자와 가계부채 사이 갈등 '가계대출을 옥죄자니 전세대출 실수요자들이 울고, 전세대출을 풀어주자니, 가계대출..."
42,http://ch1.tbroad.com/,[Btv 부산뉴스]송도구름산책로 무장애보행로,https://sports.news.naver.com/news.nhn?oid=076&aid=0003790618,이번 거북섬 무장애보행로에 앞서 서구는 지난해 송도해수욕장 백사장에 장애인 안심길 두 곳을 조성해 장애인들이 백사장을 지난 바다 앞까지 갈 수 있도록 했습니다. B tv 뉴스 장동원입니다. 영상 취재 심환철
43,http://sports.chosun.com/,"西 현지 매체 쇼킹한 뉴스, 레알 포그바-음바페 1월 동시 영입",https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=104&oid=052&aid=0001653626,레알 마드리드가 쇼킹한 1월 영입에 성공할 수 있을까. 스페인 거함 레알이 1월 이적 시장에서 세계 축구계 가장 뜨거운 스타 2명을 동시에 영입할 준비를 하고 있다는 소식이다. 그 주인공은 맨체스터 유나이티드의 폴...
44,http://www.ytn.co.kr/,"[자막뉴스] ""한국어를 왜 배워?""...'오징어 게임' 이후 달라진 시선",https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=025&aid=0003142888,캐나다 토론토에 사는 포르투갈 출신 24세 여성 카타리나 코스타 씨. 2년 전부터 한국어를 배워 온 코스타 씨는 자신에 대한 주변의 시선이 '오징어 게임' 열풍으로 달라졌음을 실감합니다. 심지어 부모님조차 한국어로...
